code_health,lead_time_minutes,total_defects,language
10.0,2720.0,0.0,Python
10.0,4188.0,1.0,Python
9.25,9265.714286,0.0,Python
10.0,3480.0,1.0,JavaScript
10.0,5070.0,0.0,Python
10.0,2970.0,0.0,Python
10.0,3840.0,2.0,Python
10.0,4575.0,2.0,Python
10.0,2200.0,0.0,Python
10.0,2340.0,0.0,Python
10.0,4020.0,0.0,Python
10.0,5070.0,0.0,Python
10.0,4716.0,1.0,Python
10.0,10500.0,1.0,JavaScript
10.0,4971.428571,1.0,Python
10.0,1560.0,0.0,JavaScript
9.75,10110.0,2.0,Python
10.0,7755.0,1.0,JavaScript
9.25,6190.0,0.0,Python
10.0,4845.0,1.0,Python
9.25,4590.0,2.0,JavaScript
10.0,9600.0,0.0,Python
9.23,5315.0,7.0,Python
8.33,11250.0,0.0,Python
10.0,4740.0,1.0,Python
10.0,4080.0,0.0,TypeScript
10.0,3640.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,3692.7272729999995,1.0,Python
10.0,2690.0,0.0,Python
9.75,3337.5,3.0,Python
9.27,6680.0,7.0,Vue
10.0,2280.0,1.0,JavaScript
10.0,3660.0,0.0,Python
10.0,6217.5,0.0,Python
9.75,3080.0,0.0,Python
7.55,4548.0,0.0,Python
10.0,6195.0,2.0,Python
10.0,3171.428571,3.0,JavaScript
10.0,3660.0,0.0,Python
10.0,4650.0,0.0,Python
10.0,3660.0,0.0,Python
9.75,2820.0,0.0,Python
10.0,5713.333333,4.0,Vue
10.0,4298.181818,2.0,Python
10.0,4548.0,0.0,Python
10.0,7440.0,0.0,Python
10.0,5070.0,0.0,Python
9.75,9225.0,1.0,Python
10.0,1740.0,1.0,Python
9.12,2226.666667,0.0,Python
10.0,4440.0,0.0,Python
10.0,2940.0,0.0,Vue
10.0,13200.0,0.0,Python
8.33,4416.0,1.0,Python
6.71,6190.666667,14.0,Python
10.0,6934.285714,1.0,Python
10.0,1860.0,1.0,Vue
9.75,6535.0,3.0,Python
10.0,3288.0,2.0,Python
10.0,6600.0,0.0,Python
7.9,3606.0,3.0,Vue
9.75,7404.705881999999,2.0,Python
10.0,2060.0,1.0,Python
10.0,11040.0,0.0,Vue
10.0,13740.0,2.0,Python
10.0,5134.285714,3.0,Python
10.0,7180.0,0.0,Python
10.0,12600.0,0.0,Python
9.25,9762.857143000001,1.0,Vue
9.63,4626.666667,0.0,Python
10.0,7720.0,1.0,Python
10.0,2055.0,1.0,Python
10.0,3360.0,0.0,Python
9.75,7878.0,1.0,Python
10.0,4200.0,0.0,Python
